,Closest City Name,Closest Country Code,Latitude,Longitude,Temperature,Max Temperature,Wind Speed,Humidity,Cloudiness,Date
32,taolanaro,MG,,,,,,,,
160,albany,AU,-35.02,117.88,117.88,53.4,11.65,73.0,36.0,1538483253.0
173,bima,ID,-8.45,118.73,118.73,76.08,3.6,91.0,0.0,1538483255.0
1208,ushuaia,AR,-54.81,-68.31,-68.31,33.8,23.04,86.0,90.0,1538480580.0
864,saldanha,ZA,-33.01,17.94,17.94,66.2,17.22,67.0,20.0,1538481600.0
346,cururupu,BR,-1.82,-44.87,-44.87,87.33,12.44,62.0,44.0,1538483284.0
1084,vostok,RU,46.45,135.83,135.83,51.33,7.74,65.0,92.0,1538483400.0
428,xinyang,CN,32.13,114.07,114.07,60.06,1.92,71.0,0.0,1538483300.0
1319,hobart,AU,-42.88,147.33,147.33,59.0,12.75,47.0,75.0,1538481600.0
1029,soyo,AO,-6.13,12.37,12.37,85.26,4.38,67.0,12.0,1538483394.0
1480,albany,AU,-35.02,117.88,117.88,53.4,11.65,73.0,36.0,1538483253.0
821,nikolskoye,RU,59.7,30.79,30.79,50.0,11.18,76.0,75.0,1538479800.0
1143,bambous virieux,MU,-20.34,57.76,57.76,75.2,11.41,64.0,75.0,1538481600.0
1024,klaksvik,FO,62.23,-6.59,-6.59,44.6,18.34,81.0,75.0,1538481000.0
965,hithadhoo,MV,-0.6,73.08,73.08,82.74,19.82,100.0,92.0,1538483264.0
987,mataura,PF,,,,,,,,
1359,sibolga,ID,1.74,98.78,98.78,70.23,1.59,100.0,68.0,1538483452.0
612,ilulissat,GL,69.22,-51.1,-51.1,30.2,17.22,54.0,75.0,1538481000.0
746,ushuaia,AR,-54.81,-68.31,-68.31,33.8,23.04,86.0,90.0,1538480580.0
25,thinadhoo,MV,0.53,72.93,72.93,83.46,17.47,100.0,88.0,1538483229.0
891,mataura,PF,,,,,,,,
550,pimenta bueno,BR,-11.68,-61.19,-61.19,76.26,2.93,90.0,76.0,1538483320.0
885,conway,US,33.84,-79.05,-79.05,69.98,3.36,93.0,20.0,1538481600.0
904,saint-philippe,RE,-21.36,55.77,55.77,75.2,13.87,50.0,75.0,1538481600.0
53,port alfred,ZA,-33.59,26.89,26.89,70.32,25.52,71.0,48.0,1538483229.0
5,mataura,PF,,,,,,,,
558,ushuaia,AR,-54.81,-68.31,-68.31,33.8,23.04,86.0,90.0,1538480580.0
907,busselton,AU,-33.64,115.35,115.35,62.04,22.39,99.0,80.0,1538483239.0
604,ukiah,US,39.15,-123.21,-123.21,60.98,1.92,93.0,90.0,1538481360.0
999,bilma,NE,18.69,12.92,12.92,104.88,8.63,17.0,0.0,1538483289.0
616,rikitea,PF,-23.12,-134.97,-134.97,66.99,19.71,100.0,92.0,1538483237.0
317,taolanaro,MG,,,,,,,,
1001,los llanos de aridane,ES,28.66,-17.92,-17.92,77.0,4.7,73.0,40.0,1538481600.0
1004,punta arenas,CL,-53.16,-70.91,-70.91,33.8,23.04,69.0,40.0,1538478000.0
1174,cockburn town,TC,21.46,-71.14,-71.14,82.74,7.07,99.0,80.0,1538483423.0
972,poum,NC,-20.23,164.02,164.02,70.41,18.03,100.0,0.0,1538483344.0
218,atar,MR,20.52,-13.05,-13.05,100.4,4.7,26.0,8.0,1538481600.0
780,tabou,CI,4.42,-7.36,-7.36,79.23,9.64,100.0,80.0,1538483354.0
772,babanusah,SD,,,,,,,,
1076,nikolskoye,RU,59.7,30.79,30.79,50.0,11.18,76.0,75.0,1538479800.0
575,saskylakh,RU,71.97,114.09,114.09,27.12,4.83,90.0,92.0,1538483244.0
75,ushuaia,AR,-54.81,-68.31,-68.31,33.8,23.04,86.0,90.0,1538480580.0
561,chokurdakh,RU,70.62,147.9,147.9,31.8,3.38,90.0,88.0,1538483286.0
1456,yellowknife,CA,62.45,-114.38,-114.38,32.0,18.34,100.0,90.0,1538481600.0
609,sabha,LY,27.03,14.43,14.43,87.51,15.01,26.0,92.0,1538483328.0
1091,tuktoyaktuk,CA,69.44,-133.03,-133.03,24.6,11.43,100.0,24.0,1538483299.0
664,samusu,WS,,,,,,,,
800,flinders,AU,-34.58,150.85,150.85,55.4,6.73,82.0,8.0,1538478000.0
1017,abu zabad,SD,12.35,29.25,29.25,90.93,4.61,72.0,0.0,1538483392.0
119,tezu,IN,27.93,96.16,96.16,62.76,1.25,98.0,100.0,1538483246.0
640,jiuquan,CN,39.73,98.49,98.49,40.89,2.37,51.0,0.0,1538483116.0
1315,lebu,CL,-37.62,-73.65,-73.65,50.7,15.01,100.0,80.0,1538483247.0
1060,bluff,NZ,-46.6,168.33,168.33,48.18,12.77,100.0,0.0,1538483250.0
1454,san rafael,AR,-34.61,-68.33,-68.33,43.59,2.93,43.0,0.0,1538483363.0
617,vaini,TO,-21.2,-175.2,-175.2,69.8,10.29,83.0,20.0,1538481600.0
676,mataura,PF,,,,,,,,
762,juneau,US,58.3,-134.42,-134.42,37.94,8.05,15.0,1.0,1538481180.0
363,albany,AU,-35.02,117.88,117.88,53.4,11.65,73.0,36.0,1538483253.0
868,flers,FR,48.75,-0.57,-0.57,60.8,14.99,93.0,90.0,1538481600.0
920,wajir,KE,1.75,40.07,40.07,93.2,13.87,30.0,40.0,1538481600.0
1307,ibra,OM,22.69,58.55,58.55,94.8,4.72,20.0,0.0,1538483444.0
63,haines junction,CA,60.75,-137.51,-137.51,13.53,2.15,83.0,0.0,1538483236.0
1105,atuona,PF,-9.8,-139.03,-139.03,78.78,12.66,100.0,92.0,1538483238.0
661,mys shmidta,RU,,,,,,,,
337,princeton,CA,49.46,-120.51,-120.51,50.0,5.82,87.0,90.0,1538481600.0
461,butaritari,KI,3.07,172.79,172.79,84.81,3.94,100.0,20.0,1538483235.0
688,esperance,AU,-33.86,121.89,121.89,56.1,11.1,78.0,92.0,1538483334.0
1452,nome,US,30.04,-94.42,-94.42,73.04,3.36,93.0,1.0,1538481300.0
1415,atuona,PF,-9.8,-139.03,-139.03,78.78,12.66,100.0,92.0,1538483238.0
774,nanchong,CN,30.8,106.08,106.08,61.14,0.69,90.0,92.0,1538483353.0
524,idrinskoye,RU,54.37,92.14,92.14,45.57,5.39,98.0,92.0,1538483316.0
137,rikitea,PF,-23.12,-134.97,-134.97,66.99,19.71,100.0,92.0,1538483237.0
152,vao,NC,-22.67,167.48,167.48,69.69,11.99,100.0,0.0,1538483252.0
452,saskylakh,RU,71.97,114.09,114.09,27.12,4.83,90.0,92.0,1538483244.0
623,busselton,AU,-33.64,115.35,115.35,62.04,22.39,99.0,80.0,1538483239.0
85,vaitape,PF,-16.52,-151.75,-151.75,75.09,24.74,100.0,88.0,1538483240.0
1199,hilo,US,19.71,-155.08,-155.08,71.96,6.93,73.0,1.0,1538481360.0
343,nantucket,US,41.28,-70.1,-70.1,62.96,4.7,96.0,75.0,1538482500.0
635,marfino,RU,56.07,37.56,37.56,50.0,11.18,76.0,40.0,1538479800.0
506,avarua,CK,-21.21,-159.78,-159.78,68.0,6.93,49.0,20.0,1538481600.0
1223,berlevag,NO,70.86,29.09,29.09,39.2,23.04,69.0,75.0,1538481000.0
455,gangotri,IN,,,,,,,,
1254,port alfred,ZA,-33.59,26.89,26.89,70.32,25.52,71.0,48.0,1538483229.0
989,dampit,ID,-7.39,111.58,111.58,82.83,2.26,67.0,80.0,1538483388.0
894,rikitea,PF,-23.12,-134.97,-134.97,66.99,19.71,100.0,92.0,1538483237.0
314,pisco,PE,-13.71,-76.2,-76.2,71.6,3.36,30.0,20.0,1538481600.0
1464,atuona,PF,-9.8,-139.03,-139.03,78.78,12.66,100.0,92.0,1538483238.0
1398,ribeira grande,PT,38.52,-28.7,-28.7,73.4,12.75,78.0,40.0,1538481600.0
833,attawapiskat,CA,,,,,,,,
1391,lebu,CL,-37.62,-73.65,-73.65,50.7,15.01,100.0,80.0,1538483247.0
275,port blair,IN,11.67,92.75,92.75,85.53,2.71,100.0,20.0,1538483272.0
1451,richards bay,ZA,-28.77,32.06,32.06,86.34,5.73,61.0,8.0,1538483464.0
242,alotau,PG,,,,,,,,
1457,trelew,AR,-43.25,-65.31,-65.31,47.01,18.37,40.0,24.0,1538483465.0
802,huittinen,FI,61.18,22.7,22.7,50.0,6.93,61.0,20.0,1538481000.0
1268,karauzyak,UZ,,,,,,,,
902,atuona,PF,-9.8,-139.03,-139.03,78.78,12.66,100.0,92.0,1538483238.0
513,praia da vitoria,PT,38.73,-27.07,-27.07,71.6,23.85,88.0,75.0,1538481600.0
572,nanortalik,GL,60.14,-45.24,-45.24,36.75,7.29,97.0,68.0,1538483261.0
955,rungata,KI,,,,,,,,
199,hobart,AU,-42.88,147.33,147.33,59.0,12.75,47.0,75.0,1538481600.0
576,mar del plata,AR,-46.43,-67.52,-67.52,40.44,14.34,64.0,0.0,1538483257.0
7,chunskiy,RU,56.08,99.63,99.63,54.66,4.5,60.0,48.0,1538483225.0
719,east london,ZA,-33.02,27.91,27.91,69.8,18.34,60.0,20.0,1538481600.0
544,sistranda,NO,63.73,8.83,8.83,46.4,6.93,65.0,20.0,1538481000.0
923,makakilo city,US,21.35,-158.09,-158.09,78.98,4.7,90.0,40.0,1538481420.0
968,martinsicuro,IT,42.89,13.92,13.92,69.8,10.29,64.0,20.0,1538481000.0
1213,shahreza,IR,32.01,51.87,51.87,73.02,3.71,20.0,8.0,1538483430.0
629,ushuaia,AR,-54.81,-68.31,-68.31,33.8,23.04,86.0,90.0,1538480580.0
171,rikitea,PF,-23.12,-134.97,-134.97,66.99,19.71,100.0,92.0,1538483237.0
460,barysh,RU,53.65,47.1,47.1,54.93,13.0,52.0,20.0,1538483305.0
334,bengkulu,ID,,,,,,,,
608,panvel,IN,18.99,73.11,73.11,89.6,9.17,70.0,20.0,1538481600.0
691,ushuaia,AR,-54.81,-68.31,-68.31,33.8,23.04,86.0,90.0,1538480580.0
74,atuona,PF,-9.8,-139.03,-139.03,78.78,12.66,100.0,92.0,1538483238.0
820,atuona,PF,-9.8,-139.03,-139.03,78.78,12.66,100.0,92.0,1538483238.0
246,sao filipe,CV,14.9,-24.5,-24.5,78.78,11.99,99.0,64.0,1538483267.0
77,guerrero negro,MX,27.97,-114.04,-114.04,70.5,14.67,100.0,92.0,1538483238.0
592,karakol,KG,42.49,78.39,78.39,45.93,2.59,90.0,68.0,1538483326.0
593,isangel,VU,-19.55,169.27,169.27,72.75,11.99,100.0,92.0,1538483326.0
648,provideniya,RU,64.42,-173.23,-173.23,47.46,18.7,95.0,92.0,1538483334.0
731,constitucion,MX,23.99,-104.67,-104.67,48.54,1.92,95.0,32.0,1538483347.0
1234,tura,RU,64.27,100.22,100.22,36.48,7.4,80.0,88.0,1538483318.0
324,toora-khem,RU,52.47,96.11,96.11,53.58,5.17,44.0,8.0,1538483280.0
1183,znamenskoye,RU,57.13,73.82,73.82,46.38,13.22,61.0,80.0,1538483425.0
1221,punta arenas,CL,-53.16,-70.91,-70.91,33.8,23.04,69.0,40.0,1538478000.0
510,shimoda,JP,34.7,138.93,138.93,73.2,5.61,100.0,0.0,1538483314.0
679,bengkulu,ID,,,,,,,,
1342,east london,ZA,-33.02,27.91,27.91,69.8,18.34,60.0,20.0,1538481600.0
1225,mataura,PF,,,,,,,,
1218,ushuaia,AR,-54.81,-68.31,-68.31,33.8,23.04,86.0,90.0,1538480580.0
345,nemuro,JP,43.32,145.57,145.57,56.55,6.62,100.0,8.0,1538483283.0
1203,mapiripan,CO,2.89,-72.13,-72.13,75.09,5.17,93.0,92.0,1538483428.0
84,freeport,US,42.3,-89.62,-89.62,53.96,3.36,100.0,90.0,1538482560.0
168,soweto,ZA,-26.22,27.89,27.89,84.2,13.87,10.0,0.0,1538481600.0
714,provideniya,RU,64.42,-173.23,-173.23,47.46,18.7,95.0,92.0,1538483334.0
286,albany,AU,-35.02,117.88,117.88,53.4,11.65,73.0,36.0,1538483253.0
1414,airai,PW,,,,,,,,
1147,hambantota,LK,6.12,81.12,81.12,82.83,6.96,97.0,76.0,1538483395.0
147,puerto ayora,EC,-0.74,-90.35,-90.35,70.77,10.54,100.0,80.0,1538483226.0
918,umm kaddadah,SD,13.6,26.69,26.69,97.59,5.17,26.0,12.0,1538483377.0
787,cayenne,GF,4.94,-52.33,-52.33,84.2,5.82,79.0,75.0,1538481600.0
60,rio grande,BR,-32.03,-52.1,-52.1,57.2,9.17,76.0,0.0,1538478000.0
1058,east london,ZA,-33.02,27.91,27.91,69.8,18.34,60.0,20.0,1538481600.0
364,chokurdakh,RU,70.62,147.9,147.9,31.8,3.38,90.0,88.0,1538483286.0
1272,atuona,PF,-9.8,-139.03,-139.03,78.78,12.66,100.0,92.0,1538483238.0
685,albany,AU,-35.02,117.88,117.88,53.4,11.65,73.0,36.0,1538483253.0
1045,los llanos de aridane,ES,28.66,-17.92,-17.92,77.0,4.7,73.0,40.0,1538481600.0
373,qaqortoq,GL,60.72,-46.03,-46.03,33.8,2.24,55.0,75.0,1538481000.0
737,klyuchi,RU,52.25,79.17,79.17,50.43,12.44,52.0,80.0,1538483348.0
696,naze,JP,28.37,129.48,129.48,77.34,15.79,100.0,8.0,1538483342.0
1062,jamestown,SH,-15.94,-5.72,-5.72,67.8,16.69,100.0,68.0,1538483251.0
893,svay rieng,KH,11.08,105.8,105.8,73.38,5.95,100.0,92.0,1538483371.0
952,jamestown,SH,-15.94,-5.72,-5.72,67.8,16.69,100.0,68.0,1538483251.0
605,skibbereen,IE,51.55,-9.27,-9.27,60.8,21.92,77.0,40.0,1538481600.0
519,barrow,US,39.51,-90.4,-90.4,69.8,5.82,91.0,75.0,1538481300.0
94,port elizabeth,ZA,-33.92,25.57,25.57,66.2,40.26,59.0,75.0,1538481600.0
378,tasiilaq,GL,65.61,-37.64,-37.64,35.6,6.93,64.0,75.0,1538481000.0
644,sisimiut,GL,66.94,-53.67,-53.67,30.9,2.59,100.0,80.0,1538483333.0
1321,chicama,PE,-7.84,-79.15,-79.15,60.8,4.7,93.0,90.0,1538481600.0
353,rikitea,PF,-23.12,-134.97,-134.97,66.99,19.71,100.0,92.0,1538483237.0
825,arraial do cabo,BR,-22.97,-42.02,-42.02,86.0,4.7,66.0,0.0,1538481600.0
61,butaritari,KI,3.07,172.79,172.79,84.81,3.94,100.0,20.0,1538483235.0
1331,atuona,PF,-9.8,-139.03,-139.03,78.78,12.66,100.0,92.0,1538483238.0
49,nerchinskiy zavod,RU,51.31,119.61,119.61,42.51,3.04,50.0,0.0,1538483233.0
1123,hithadhoo,MV,-0.6,73.08,73.08,82.74,19.82,100.0,92.0,1538483264.0
1128,ouango,CF,,,,,,,,
134,amderma,RU,,,,,,,,
11,bedele,ET,8.46,36.35,36.35,75.72,3.38,63.0,12.0,1538483226.0
930,saint-philippe,RE,-21.36,55.77,55.77,75.2,13.87,50.0,75.0,1538481600.0
104,mehamn,NO,71.03,27.85,27.85,39.2,13.87,69.0,75.0,1538481000.0
309,yellowknife,CA,62.45,-114.38,-114.38,32.0,18.34,100.0,90.0,1538481600.0
552,ilulissat,GL,69.22,-51.1,-51.1,30.2,17.22,54.0,75.0,1538481000.0
1496,rikitea,PF,-23.12,-134.97,-134.97,66.99,19.71,100.0,92.0,1538483237.0
758,bathsheba,BB,13.22,-59.52,-59.52,84.2,9.17,79.0,20.0,1538481600.0
1243,rosarito,MX,27.04,-109.91,-109.91,77.88,2.82,92.0,0.0,1538483434.0
197,albany,AU,-35.02,117.88,117.88,53.4,11.65,73.0,36.0,1538483253.0
581,mataura,PF,,,,,,,,
1491,grindavik,IS,63.84,-22.43,-22.43,42.8,18.34,100.0,75.0,1538479800.0
649,faanui,PF,-16.48,-151.75,-151.75,76.71,21.5,100.0,56.0,1538483335.0
1102,coquimbo,CL,-29.95,-71.34,-71.34,48.2,6.93,87.0,0.0,1538478000.0
395,vaini,TO,-21.2,-175.2,-175.2,69.8,10.29,83.0,20.0,1538481600.0
161,butaritari,KI,3.07,172.79,172.79,84.81,3.94,100.0,20.0,1538483235.0
231,bluff,NZ,-46.6,168.33,168.33,48.18,12.77,100.0,0.0,1538483250.0
1204,thompson,CA,55.74,-97.86,-97.86,24.8,5.82,92.0,20.0,1538481600.0
484,east london,ZA,-33.02,27.91,27.91,69.8,18.34,60.0,20.0,1538481600.0
467,hermanus,ZA,-34.42,19.24,19.24,54.84,7.74,88.0,92.0,1538483262.0
808,amderma,RU,,,,,,,,
425,saint george,BM,32.38,-64.68,-64.68,75.2,21.92,88.0,75.0,1538482080.0
994,marcona,PE,,,,,,,,
829,mataura,PF,,,,,,,,
148,tasiilaq,GL,65.61,-37.64,-37.64,35.6,6.93,64.0,75.0,1538481000.0
898,tiksi,RU,71.64,128.87,128.87,26.85,8.63,100.0,76.0,1538483332.0
56,mabaruma,GY,8.2,-59.78,-59.78,82.83,5.28,87.0,0.0,1538483234.0
578,rikitea,PF,-23.12,-134.97,-134.97,66.99,19.71,100.0,92.0,1538483237.0
792,punta arenas,CL,-53.16,-70.91,-70.91,33.8,23.04,69.0,40.0,1538478000.0
742,hilo,US,19.71,-155.08,-155.08,71.96,6.93,73.0,1.0,1538481360.0
687,grindavik,IS,63.84,-22.43,-22.43,42.8,18.34,100.0,75.0,1538479800.0
670,dikson,RU,73.51,80.55,80.55,38.55,15.57,100.0,80.0,1538483230.0
256,punta arenas,CL,-53.16,-70.91,-70.91,33.8,23.04,69.0,40.0,1538478000.0
316,bad windsheim,DE,49.5,10.42,10.42,49.82,14.99,60.0,90.0,1538481360.0
1466,carnarvon,AU,-24.87,113.63,113.63,68.52,12.21,93.0,0.0,1538483242.0
1266,sterling,US,39.0,-77.4,-77.4,68.0,5.82,96.0,40.0,1538481600.0
463,berlevag,NO,70.86,29.09,29.09,39.2,23.04,69.0,75.0,1538481000.0
580,hermanus,ZA,-34.42,19.24,19.24,54.84,7.74,88.0,92.0,1538483262.0
798,erzurum,TR,39.91,41.27,41.27,73.4,12.75,25.0,75.0,1538481000.0
357,rikitea,PF,-23.12,-134.97,-134.97,66.99,19.71,100.0,92.0,1538483237.0
435,kahului,US,20.89,-156.47,-156.47,69.08,4.7,92.0,1.0,1538481360.0
876,rikitea,PF,-23.12,-134.97,-134.97,66.99,19.71,100.0,92.0,1538483237.0
1051,bambous virieux,MU,-20.34,57.76,57.76,75.2,11.41,64.0,75.0,1538481600.0
932,albany,AU,-35.02,117.88,117.88,53.4,11.65,73.0,36.0,1538483253.0
356,mar del plata,AR,-46.43,-67.52,-67.52,40.44,14.34,64.0,0.0,1538483257.0
1251,severo-kurilsk,RU,50.68,156.12,156.12,46.56,21.05,94.0,48.0,1538483269.0
297,arraial do cabo,BR,-22.97,-42.02,-42.02,86.0,4.7,66.0,0.0,1538481600.0
779,punta arenas,CL,-53.16,-70.91,-70.91,33.8,23.04,69.0,40.0,1538478000.0
1273,hobart,AU,-42.88,147.33,147.33,59.0,12.75,47.0,75.0,1538481600.0
1445,kahului,US,20.89,-156.47,-156.47,69.08,4.7,92.0,1.0,1538481360.0
1460,illoqqortoormiut,GL,,,,,,,,
41,luderitz,NA,-26.65,15.16,15.16,65.37,25.3,79.0,0.0,1538483232.0
1318,punta arenas,CL,-53.16,-70.91,-70.91,33.8,23.04,69.0,40.0,1538478000.0
449,lata,SB,,,,,,,,
611,mattru,SL,7.62,-11.83,-11.83,76.26,8.19,100.0,92.0,1538483329.0
1425,biak,ID,-0.91,122.88,122.88,77.88,5.39,90.0,56.0,1538483231.0
374,terra santa,BR,-2.1,-56.49,-56.49,86.61,5.95,61.0,0.0,1538483288.0
744,sao jose da coroa grande,BR,-8.9,-35.15,-35.15,79.68,9.64,82.0,12.0,1538483349.0
427,castro,CL,-42.48,-73.76,-73.76,42.87,5.73,97.0,68.0,1538483268.0
409,cape town,ZA,-33.93,18.42,18.42,62.6,26.4,55.0,40.0,1538481600.0
1189,bredasdorp,ZA,-34.53,20.04,20.04,60.8,11.41,51.0,75.0,1538481600.0
1379,kapaa,US,22.08,-159.32,-159.32,75.92,4.7,90.0,75.0,1538481360.0
653,upernavik,GL,72.79,-56.15,-56.15,35.94,17.47,99.0,24.0,1538483266.0
14,arraial do cabo,BR,-22.97,-42.02,-42.02,86.0,4.7,66.0,0.0,1538481600.0
763,ushuaia,AR,-54.81,-68.31,-68.31,33.8,23.04,86.0,90.0,1538480580.0
322,tabukiniberu,KI,,,,,,,,
818,alikalia,SL,9.15,-11.39,-11.39,76.71,6.62,96.0,88.0,1538483360.0
832,rikitea,PF,-23.12,-134.97,-134.97,66.99,19.71,100.0,92.0,1538483237.0
1216,vaini,TO,-21.2,-175.2,-175.2,69.8,10.29,83.0,20.0,1538481600.0
1015,nhulunbuy,AU,-12.18,136.78,136.78,73.4,3.36,83.0,0.0,1538481600.0
912,mar del plata,AR,-46.43,-67.52,-67.52,40.44,14.34,64.0,0.0,1538483257.0
413,san jose,GT,16.98,-89.9,-89.9,70.23,3.6,100.0,88.0,1538483297.0
1309,yellowknife,CA,62.45,-114.38,-114.38,32.0,18.34,100.0,90.0,1538481600.0
1484,khonuu,RU,,,,,,,,
72,nishihara,JP,35.74,139.53,139.53,71.6,3.36,64.0,90.0,1538481360.0
878,hilo,US,19.71,-155.08,-155.08,71.96,6.93,73.0,1.0,1538481360.0
511,chuy,UY,-33.69,-53.46,-53.46,54.93,9.19,94.0,12.0,1538483286.0
250,amderma,RU,,,,,,,,
700,ponta do sol,CV,17.2,-25.09,-25.09,78.06,13.0,100.0,64.0,1538483272.0
44,bluff,NZ,-46.6,168.33,168.33,48.18,12.77,100.0,0.0,1538483231.0
1384,port lincoln,AU,-34.72,135.86,135.86,58.8,10.65,97.0,56.0,1538483431.0
824,hobart,AU,-42.88,147.33,147.33,59.0,12.75,47.0,75.0,1538481600.0
1263,hilo,US,19.71,-155.08,-155.08,71.96,6.93,73.0,1.0,1538481360.0
793,georgetown,SH,-7.93,-14.42,-14.42,75.27,14.67,100.0,80.0,1538483245.0
810,carnarvon,AU,-24.87,113.63,113.63,68.52,12.21,93.0,0.0,1538483242.0
259,port macquarie,AU,-31.43,152.91,152.91,57.2,3.36,76.0,0.0,1538481600.0
496,cururupu,BR,-1.82,-44.87,-44.87,87.33,12.44,62.0,44.0,1538483284.0
1276,sao miguel do araguaia,BR,-13.28,-50.16,-50.16,76.17,8.19,98.0,12.0,1538483439.0
716,narsaq,GL,60.91,-46.05,-46.05,33.8,2.24,55.0,75.0,1538481000.0
750,la ronge,CA,55.1,-105.3,-105.3,26.6,4.7,86.0,40.0,1538481600.0
1012,barcelos,BR,-0.97,-62.93,-62.93,74.01,7.4,99.0,80.0,1538483391.0
1279,sorland,NO,67.67,12.69,12.69,46.4,11.41,65.0,20.0,1538481000.0
1413,albany,AU,-35.02,117.88,117.88,53.4,11.65,73.0,36.0,1538483253.0
1434,busselton,AU,-33.64,115.35,115.35,62.04,22.39,99.0,80.0,1538483239.0
384,vaitupu,WF,,,,,,,,
577,brooks,CA,50.57,-111.89,-111.89,32.16,7.52,95.0,100.0,1538483324.0
342,port alfred,ZA,-33.59,26.89,26.89,70.32,25.52,71.0,48.0,1538483229.0
381,jega,NG,12.22,4.38,4.38,88.41,6.62,92.0,0.0,1538483289.0
618,saint-philippe,RE,-21.36,55.77,55.77,75.2,13.87,50.0,75.0,1538481600.0
285,norman wells,CA,65.28,-126.83,-126.83,30.2,5.82,80.0,75.0,1538481600.0
991,kapaa,US,22.08,-159.32,-159.32,75.92,4.7,90.0,75.0,1538481360.0
573,port alfred,ZA,-33.59,26.89,26.89,70.32,25.52,71.0,48.0,1538483229.0
1465,da lat,VN,11.95,108.44,108.44,65.91,2.37,98.0,92.0,1538483470.0
46,mujiayingzi,CN,42.12,118.78,118.78,44.58,2.59,67.0,0.0,1538483232.0
253,port alfred,ZA,-33.59,26.89,26.89,70.32,25.52,71.0,48.0,1538483229.0
243,todos santos,MX,23.45,-110.23,-110.23,77.0,4.7,94.0,5.0,1538482080.0
93,kapaa,US,22.08,-159.32,-159.32,75.92,4.7,90.0,75.0,1538481360.0
516,walvis bay,NA,-22.95,14.51,14.51,86.0,9.17,28.0,24.0,1538481600.0
549,cidreira,BR,-30.17,-50.22,-50.22,63.21,9.64,100.0,100.0,1538483320.0
1362,hithadhoo,MV,-0.6,73.08,73.08,82.74,19.82,100.0,92.0,1538483264.0
1405,balabac,PH,7.99,117.06,117.06,83.91,5.73,100.0,12.0,1538483259.0
625,cape town,ZA,-33.93,18.42,18.42,62.6,26.4,55.0,40.0,1538481600.0
90,burica,PA,,,,,,,,
1000,upernavik,GL,72.79,-56.15,-56.15,35.94,17.47,99.0,24.0,1538483266.0
360,east london,ZA,-33.02,27.91,27.91,69.8,18.34,60.0,20.0,1538481600.0
931,sheridan,US,39.65,-105.03,-105.03,62.06,10.29,63.0,40.0,1538481480.0
906,magole,TZ,-6.37,37.37,37.37,102.2,3.49,57.0,40.0,1538478000.0
554,tumannyy,RU,,,,,,,,
883,avarua,CK,-21.21,-159.78,-159.78,68.0,6.93,49.0,20.0,1538481600.0
21,whakatane,NZ,-37.96,176.99,176.99,55.65,12.66,100.0,0.0,1538483228.0
950,saint-philippe,RE,-21.36,55.77,55.77,75.2,13.87,50.0,75.0,1538481600.0
1074,stoyba,RU,,,,,,,,
204,vaini,TO,-21.2,-175.2,-175.2,69.8,10.29,83.0,20.0,1538481600.0
1485,san cristobal,EC,-1.02,-79.44,-79.44,55.83,1.59,92.0,0.0,1538483299.0
1155,ushuaia,AR,-54.81,-68.31,-68.31,33.8,23.04,86.0,90.0,1538480580.0
1052,tasiilaq,GL,65.61,-37.64,-37.64,35.6,6.93,64.0,75.0,1538481000.0
416,tongren,CN,27.72,109.18,109.18,65.1,4.05,57.0,64.0,1538483297.0
1188,laguna,BR,,,,,,,,
